"yday","subsectionname","trailname","trailnumber","timeframe","wday","max.count","subsectionF"
364,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-12-30,"Thu",NA,"Sypes to Middle Cottonwood"
365,"Bostwick to Truman","Bridger Foothills",534,2021-12-31,"Fri",NA,"Bostwick to Truman"
1,"Baldy to Bridger","Bridger Ridge",513,2021-01-01,"Fri",NA,"Baldy to Bridger"
2,"Fairy Creek","Fairy Creek",500,2021-01-02,"Sat",NA,"Fairy Creek"
3,"Fairy Lakeshore","Fairy Lakeshore",499,2021-01-03,"Sun",NA,"Fairy Lakeshore"
4,"Jones to Ross Pass","Bridger Foothills",534,2021-01-04,"Mon",NA,"Jones to Ross Pass"
5,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-01-05,"Tue",NA,"Sacagawea Peak to Sacagawea Pass"
6,"Ross Pass","Ross Pass",551,2021-01-06,"Wed",NA,"Ross Pass"
7,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-01-07,"Thu",NA,"Fairy Lake Shortcut"
8,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-01-08,"Fri",NA,"Johnson Canyon Jeep Trail"
9,"Sacagawea Pass","Sacagawea Pass",518,2021-01-09,"Sat",NA,"Sacagawea Pass"
10,"Lower Shafthouse","Shafthouse Hill",540,2021-01-10,"Sun",NA,"Lower Shafthouse"
11,"North Cottonwood to Ridge","North Cottonwood",545,2021-01-11,"Mon",NA,"North Cottonwood to Ridge"
12,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-01-12,"Tue",NA,"Ross Pass to Sacagawea Peak"
13,"Bridger to Ross Pass","Bridger Ridge",513,2021-01-13,"Wed",NA,"Bridger to Ross Pass"
14,"Carroll Creek","Carroll Creek",527,2021-01-14,"Thu",NA,"Carroll Creek"
15,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-01-15,"Fri",NA,"Flathead Pass Rd"
16,"Upper Shafthouse","Shafthouse Hill",540,2021-01-16,"Sat",NA,"Upper Shafthouse"
17,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-01-17,"Sun",NA,"S Fork Brackett Creek"
18,"East Bridger South","East Bridger South",538,2021-01-18,"Mon",NA,"East Bridger South"
19,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-01-19,"Tue",NA,"Ross Pass to Sacagawea Pass"
20,"Raptor View","Raptor View",530,2021-01-20,"Wed",NA,"Raptor View"
21,"Upper Brackett Creek","Upper Brackett Creek",526,2021-01-21,"Thu",NA,"Upper Brackett Creek"
22,"Truman to Jones","Bridger Foothills",534,2021-01-22,"Fri",NA,"Truman to Jones"
27,"M to Baldy","Bridger Ridge",513,2021-01-27,"Wed",NA,"M to Baldy"
28,"M shortcut","M shortcut",512,2021-01-28,"Thu",NA,"M shortcut"
30,"Middle Cottonwood","Middle Cottonwood",586,2021-01-30,"Sat",NA,"Middle Cottonwood"
31,"East Bridger North","East Bridger North",539,2021-01-31,"Sun",NA,"East Bridger North"
32,"Truman Gulch","Truman Gulch",535,2021-02-01,"Mon",NA,"Truman Gulch"
33,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-02-02,"Tue",NA,"Middle Cottonwood to Bostwick"
35,"New World Gulch","New World Gulch",50,2021-02-04,"Thu",NA,"New World Gulch"
36,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-02-05,"Fri",NA,"North Cottonwood to Johnson Canyon"
37,"Bridger","Bridger Ridge",513,2021-02-06,"Sat",NA,"Bridger"
38,"Corbly Gulch","Corbly Gulch",544,2021-02-07,"Sun",NA,"Corbly Gulch"
39,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-02-08,"Mon",NA,"Felix Canyon Rd"
40,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-02-09,"Tue",NA,"Sypes to Middle Cottonwood"
41,"Bostwick to Truman","Bridger Foothills",534,2021-02-10,"Wed",NA,"Bostwick to Truman"
42,"Baldy to Bridger","Bridger Ridge",513,2021-02-11,"Thu",NA,"Baldy to Bridger"
43,"Fairy Creek","Fairy Creek",500,2021-02-12,"Fri",NA,"Fairy Creek"
44,"Fairy Lakeshore","Fairy Lakeshore",499,2021-02-13,"Sat",NA,"Fairy Lakeshore"
45,"Jones to Ross Pass","Bridger Foothills",534,2021-02-14,"Sun",NA,"Jones to Ross Pass"
46,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-02-15,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
47,"Ross Pass","Ross Pass",551,2021-02-16,"Tue",NA,"Ross Pass"
48,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-02-17,"Wed",NA,"Fairy Lake Shortcut"
49,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-02-18,"Thu",NA,"Johnson Canyon Jeep Trail"
50,"Sacagawea Pass","Sacagawea Pass",518,2021-02-19,"Fri",NA,"Sacagawea Pass"
51,"Lower Shafthouse","Shafthouse Hill",540,2021-02-20,"Sat",NA,"Lower Shafthouse"
52,"North Cottonwood to Ridge","North Cottonwood",545,2021-02-21,"Sun",NA,"North Cottonwood to Ridge"
53,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-02-22,"Mon",NA,"Ross Pass to Sacagawea Peak"
54,"Bridger to Ross Pass","Bridger Ridge",513,2021-02-23,"Tue",NA,"Bridger to Ross Pass"
55,"Carroll Creek","Carroll Creek",527,2021-02-24,"Wed",NA,"Carroll Creek"
56,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-02-25,"Thu",NA,"Flathead Pass Rd"
57,"Upper Shafthouse","Shafthouse Hill",540,2021-02-26,"Fri",NA,"Upper Shafthouse"
58,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-02-27,"Sat",NA,"S Fork Brackett Creek"
59,"East Bridger South","East Bridger South",538,2021-02-28,"Sun",NA,"East Bridger South"
60,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-03-01,"Mon",NA,"Ross Pass to Sacagawea Pass"
61,"Raptor View","Raptor View",530,2021-03-02,"Tue",NA,"Raptor View"
62,"Upper Brackett Creek","Upper Brackett Creek",526,2021-03-03,"Wed",NA,"Upper Brackett Creek"
63,"Truman to Jones","Bridger Foothills",534,2021-03-04,"Thu",NA,"Truman to Jones"
69,"M shortcut","M shortcut",512,2021-03-10,"Wed",NA,"M shortcut"
71,"Middle Cottonwood","Middle Cottonwood",586,2021-03-12,"Fri",NA,"Middle Cottonwood"
72,"East Bridger North","East Bridger North",539,2021-03-13,"Sat",NA,"East Bridger North"
73,"Truman Gulch","Truman Gulch",535,2021-03-14,"Sun",NA,"Truman Gulch"
74,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-03-15,"Mon",NA,"Middle Cottonwood to Bostwick"
75,"North Cottonwood Access","North Cottonwood Access",546,2021-03-16,"Tue",NA,"North Cottonwood Access"
76,"New World Gulch","New World Gulch",50,2021-03-17,"Wed",NA,"New World Gulch"
77,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-03-18,"Thu",NA,"North Cottonwood to Johnson Canyon"
78,"Bridger","Bridger Ridge",513,2021-03-19,"Fri",NA,"Bridger"
79,"Corbly Gulch","Corbly Gulch",544,2021-03-20,"Sat",NA,"Corbly Gulch"
80,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-03-21,"Sun",NA,"Felix Canyon Rd"
81,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-03-22,"Mon",NA,"Sypes to Middle Cottonwood"
82,"Bostwick to Truman","Bridger Foothills",534,2021-03-23,"Tue",NA,"Bostwick to Truman"
83,"Baldy to Bridger","Bridger Ridge",513,2021-03-24,"Wed",NA,"Baldy to Bridger"
84,"Fairy Creek","Fairy Creek",500,2021-03-25,"Thu",NA,"Fairy Creek"
85,"Fairy Lakeshore","Fairy Lakeshore",499,2021-03-26,"Fri",NA,"Fairy Lakeshore"
86,"Jones to Ross Pass","Bridger Foothills",534,2021-03-27,"Sat",NA,"Jones to Ross Pass"
87,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-03-28,"Sun",NA,"Sacagawea Peak to Sacagawea Pass"
88,"Ross Pass","Ross Pass",551,2021-03-29,"Mon",NA,"Ross Pass"
89,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-03-30,"Tue",NA,"Fairy Lake Shortcut"
90,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-03-31,"Wed",NA,"Johnson Canyon Jeep Trail"
91,"Sacagawea Pass","Sacagawea Pass",518,2021-04-01,"Thu",NA,"Sacagawea Pass"
92,"Lower Shafthouse","Shafthouse Hill",540,2021-04-02,"Fri",NA,"Lower Shafthouse"
93,"North Cottonwood to Ridge","North Cottonwood",545,2021-04-03,"Sat",NA,"North Cottonwood to Ridge"
94,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-04-04,"Sun",NA,"Ross Pass to Sacagawea Peak"
95,"Bridger to Ross Pass","Bridger Ridge",513,2021-04-05,"Mon",NA,"Bridger to Ross Pass"
96,"Carroll Creek","Carroll Creek",527,2021-04-06,"Tue",NA,"Carroll Creek"
97,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-04-07,"Wed",NA,"Flathead Pass Rd"
98,"Upper Shafthouse","Shafthouse Hill",540,2021-04-08,"Thu",NA,"Upper Shafthouse"
99,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-04-09,"Fri",NA,"S Fork Brackett Creek"
100,"East Bridger South","East Bridger South",538,2021-04-10,"Sat",NA,"East Bridger South"
101,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-04-11,"Sun",NA,"Ross Pass to Sacagawea Pass"
102,"Raptor View","Raptor View",530,2021-04-12,"Mon",NA,"Raptor View"
103,"Upper Brackett Creek","Upper Brackett Creek",526,2021-04-13,"Tue",NA,"Upper Brackett Creek"
104,"Truman to Jones","Bridger Foothills",534,2021-04-14,"Wed",NA,"Truman to Jones"
112,"Middle Cottonwood","Middle Cottonwood",586,2021-04-22,"Thu",NA,"Middle Cottonwood"
113,"East Bridger North","East Bridger North",539,2021-04-23,"Fri",NA,"East Bridger North"
114,"Truman Gulch","Truman Gulch",535,2021-04-24,"Sat",NA,"Truman Gulch"
116,"North Cottonwood Access","North Cottonwood Access",546,2021-04-26,"Mon",NA,"North Cottonwood Access"
117,"New World Gulch","New World Gulch",50,2021-04-27,"Tue",NA,"New World Gulch"
118,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-04-28,"Wed",NA,"North Cottonwood to Johnson Canyon"
119,"Bridger","Bridger Ridge",513,2021-04-29,"Thu",NA,"Bridger"
120,"Corbly Gulch","Corbly Gulch",544,2021-04-30,"Fri",NA,"Corbly Gulch"
121,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-05-01,"Sat",NA,"Felix Canyon Rd"
122,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-05-02,"Sun",NA,"Sypes to Middle Cottonwood"
123,"Bostwick to Truman","Bridger Foothills",534,2021-05-03,"Mon",NA,"Bostwick to Truman"
124,"Baldy to Bridger","Bridger Ridge",513,2021-05-04,"Tue",NA,"Baldy to Bridger"
125,"Fairy Creek","Fairy Creek",500,2021-05-05,"Wed",NA,"Fairy Creek"
126,"Fairy Lakeshore","Fairy Lakeshore",499,2021-05-06,"Thu",NA,"Fairy Lakeshore"
127,"Jones to Ross Pass","Bridger Foothills",534,2021-05-07,"Fri",NA,"Jones to Ross Pass"
128,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-05-08,"Sat",NA,"Sacagawea Peak to Sacagawea Pass"
129,"Ross Pass","Ross Pass",551,2021-05-09,"Sun",NA,"Ross Pass"
130,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-05-10,"Mon",NA,"Fairy Lake Shortcut"
131,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-05-11,"Tue",NA,"Johnson Canyon Jeep Trail"
132,"Sacagawea Pass","Sacagawea Pass",518,2021-05-12,"Wed",NA,"Sacagawea Pass"
133,"Lower Shafthouse","Shafthouse Hill",540,2021-05-13,"Thu",NA,"Lower Shafthouse"
134,"North Cottonwood to Ridge","North Cottonwood",545,2021-05-14,"Fri",NA,"North Cottonwood to Ridge"
135,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-05-15,"Sat",NA,"Ross Pass to Sacagawea Peak"
136,"Bridger to Ross Pass","Bridger Ridge",513,2021-05-16,"Sun",NA,"Bridger to Ross Pass"
137,"Carroll Creek","Carroll Creek",527,2021-05-17,"Mon",NA,"Carroll Creek"
138,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-05-18,"Tue",NA,"Flathead Pass Rd"
139,"Upper Shafthouse","Shafthouse Hill",540,2021-05-19,"Wed",NA,"Upper Shafthouse"
140,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-05-20,"Thu",NA,"S Fork Brackett Creek"
141,"East Bridger South","East Bridger South",538,2021-05-21,"Fri",NA,"East Bridger South"
142,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-05-22,"Sat",NA,"Ross Pass to Sacagawea Pass"
143,"Raptor View","Raptor View",530,2021-05-23,"Sun",NA,"Raptor View"
144,"Upper Brackett Creek","Upper Brackett Creek",526,2021-05-24,"Mon",NA,"Upper Brackett Creek"
145,"Truman to Jones","Bridger Foothills",534,2021-05-25,"Tue",NA,"Truman to Jones"
154,"East Bridger North","East Bridger North",539,2021-06-03,"Thu",NA,"East Bridger North"
159,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-06-08,"Tue",NA,"North Cottonwood to Johnson Canyon"
160,"Bridger","Bridger Ridge",513,2021-06-09,"Wed",NA,"Bridger"
162,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-06-11,"Fri",NA,"Felix Canyon Rd"
166,"Fairy Creek","Fairy Creek",500,2021-06-15,"Tue",NA,"Fairy Creek"
168,"Jones to Ross Pass","Bridger Foothills",534,2021-06-17,"Thu",NA,"Jones to Ross Pass"
169,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-06-18,"Fri",NA,"Sacagawea Peak to Sacagawea Pass"
170,"Ross Pass","Ross Pass",551,2021-06-19,"Sat",NA,"Ross Pass"
171,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-06-20,"Sun",NA,"Fairy Lake Shortcut"
172,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-06-21,"Mon",NA,"Johnson Canyon Jeep Trail"
174,"Lower Shafthouse","Shafthouse Hill",540,2021-06-23,"Wed",NA,"Lower Shafthouse"
175,"North Cottonwood to Ridge","North Cottonwood",545,2021-06-24,"Thu",NA,"North Cottonwood to Ridge"
176,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-06-25,"Fri",NA,"Ross Pass to Sacagawea Peak"
178,"Carroll Creek","Carroll Creek",527,2021-06-27,"Sun",NA,"Carroll Creek"
179,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-06-28,"Mon",NA,"Flathead Pass Rd"
181,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-06-30,"Wed",NA,"S Fork Brackett Creek"
182,"East Bridger South","East Bridger South",538,2021-07-01,"Thu",NA,"East Bridger South"
183,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-07-02,"Fri",NA,"Ross Pass to Sacagawea Pass"
184,"Raptor View","Raptor View",530,2021-07-03,"Sat",NA,"Raptor View"
185,"Upper Brackett Creek","Upper Brackett Creek",526,2021-07-04,"Sun",NA,"Upper Brackett Creek"
186,"Truman to Jones","Bridger Foothills",534,2021-07-05,"Mon",NA,"Truman to Jones"
196,"Truman Gulch","Truman Gulch",535,2021-07-15,"Thu",NA,"Truman Gulch"
198,"North Cottonwood Access","North Cottonwood Access",546,2021-07-17,"Sat",NA,"North Cottonwood Access"
199,"New World Gulch","New World Gulch",50,2021-07-18,"Sun",NA,"New World Gulch"
200,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-07-19,"Mon",NA,"North Cottonwood to Johnson Canyon"
201,"Bridger","Bridger Ridge",513,2021-07-20,"Tue",NA,"Bridger"
203,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-07-22,"Thu",NA,"Felix Canyon Rd"
204,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-07-23,"Fri",NA,"Sypes to Middle Cottonwood"
207,"Fairy Creek","Fairy Creek",500,2021-07-26,"Mon",NA,"Fairy Creek"
208,"Fairy Lakeshore","Fairy Lakeshore",499,2021-07-27,"Tue",NA,"Fairy Lakeshore"
209,"Jones to Ross Pass","Bridger Foothills",534,2021-07-28,"Wed",NA,"Jones to Ross Pass"
210,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-07-29,"Thu",NA,"Sacagawea Peak to Sacagawea Pass"
211,"Ross Pass","Ross Pass",551,2021-07-30,"Fri",NA,"Ross Pass"
212,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-07-31,"Sat",NA,"Fairy Lake Shortcut"
213,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-08-01,"Sun",NA,"Johnson Canyon Jeep Trail"
214,"Sacagawea Pass","Sacagawea Pass",518,2021-08-02,"Mon",NA,"Sacagawea Pass"
215,"Lower Shafthouse","Shafthouse Hill",540,2021-08-03,"Tue",NA,"Lower Shafthouse"
216,"North Cottonwood to Ridge","North Cottonwood",545,2021-08-04,"Wed",NA,"North Cottonwood to Ridge"
217,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-08-05,"Thu",NA,"Ross Pass to Sacagawea Peak"
218,"Bridger to Ross Pass","Bridger Ridge",513,2021-08-06,"Fri",NA,"Bridger to Ross Pass"
219,"Carroll Creek","Carroll Creek",527,2021-08-07,"Sat",NA,"Carroll Creek"
220,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-08-08,"Sun",NA,"Flathead Pass Rd"
221,"Upper Shafthouse","Shafthouse Hill",540,2021-08-09,"Mon",NA,"Upper Shafthouse"
222,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-08-10,"Tue",NA,"S Fork Brackett Creek"
223,"East Bridger South","East Bridger South",538,2021-08-11,"Wed",NA,"East Bridger South"
224,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-08-12,"Thu",NA,"Ross Pass to Sacagawea Pass"
226,"Upper Brackett Creek","Upper Brackett Creek",526,2021-08-14,"Sat",NA,"Upper Brackett Creek"
227,"Truman to Jones","Bridger Foothills",534,2021-08-15,"Sun",NA,"Truman to Jones"
239,"North Cottonwood Access","North Cottonwood Access",546,2021-08-27,"Fri",NA,"North Cottonwood Access"
242,"Bridger","Bridger Ridge",513,2021-08-30,"Mon",NA,"Bridger"
244,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-09-01,"Wed",NA,"Felix Canyon Rd"
245,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-09-02,"Thu",NA,"Sypes to Middle Cottonwood"
246,"Bostwick to Truman","Bridger Foothills",534,2021-09-03,"Fri",NA,"Bostwick to Truman"
249,"Fairy Lakeshore","Fairy Lakeshore",499,2021-09-06,"Mon",NA,"Fairy Lakeshore"
250,"Jones to Ross Pass","Bridger Foothills",534,2021-09-07,"Tue",NA,"Jones to Ross Pass"
252,"Ross Pass","Ross Pass",551,2021-09-09,"Thu",NA,"Ross Pass"
253,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-09-10,"Fri",NA,"Fairy Lake Shortcut"
254,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-09-11,"Sat",NA,"Johnson Canyon Jeep Trail"
256,"Lower Shafthouse","Shafthouse Hill",540,2021-09-13,"Mon",NA,"Lower Shafthouse"
257,"North Cottonwood to Ridge","North Cottonwood",545,2021-09-14,"Tue",NA,"North Cottonwood to Ridge"
258,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-09-15,"Wed",NA,"Ross Pass to Sacagawea Peak"
259,"Bridger to Ross Pass","Bridger Ridge",513,2021-09-16,"Thu",NA,"Bridger to Ross Pass"
260,"Carroll Creek","Carroll Creek",527,2021-09-17,"Fri",NA,"Carroll Creek"
261,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-09-18,"Sat",NA,"Flathead Pass Rd"
262,"Upper Shafthouse","Shafthouse Hill",540,2021-09-19,"Sun",NA,"Upper Shafthouse"
263,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-09-20,"Mon",NA,"S Fork Brackett Creek"
264,"East Bridger South","East Bridger South",538,2021-09-21,"Tue",NA,"East Bridger South"
265,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-09-22,"Wed",NA,"Ross Pass to Sacagawea Pass"
266,"Raptor View","Raptor View",530,2021-09-23,"Thu",NA,"Raptor View"
267,"Upper Brackett Creek","Upper Brackett Creek",526,2021-09-24,"Fri",NA,"Upper Brackett Creek"
268,"Truman to Jones","Bridger Foothills",534,2021-09-25,"Sat",NA,"Truman to Jones"
271,"College M to Sypes","Bridger Foothills",534,2021-09-28,"Tue",NA,"College M to Sypes"
274,"M shortcut","M shortcut",512,2021-10-01,"Fri",NA,"M shortcut"
275,"Sypes Canyon","Sypes Canyon",531,2021-10-02,"Sat",NA,"Sypes Canyon"
276,"Middle Cottonwood","Middle Cottonwood",586,2021-10-03,"Sun",NA,"Middle Cottonwood"
277,"East Bridger North","East Bridger North",539,2021-10-04,"Mon",NA,"East Bridger North"
278,"Truman Gulch","Truman Gulch",535,2021-10-05,"Tue",NA,"Truman Gulch"
279,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-10-06,"Wed",NA,"Middle Cottonwood to Bostwick"
280,"North Cottonwood Access","North Cottonwood Access",546,2021-10-07,"Thu",NA,"North Cottonwood Access"
281,"New World Gulch","New World Gulch",50,2021-10-08,"Fri",NA,"New World Gulch"
282,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-10-09,"Sat",NA,"North Cottonwood to Johnson Canyon"
283,"Bridger","Bridger Ridge",513,2021-10-10,"Sun",NA,"Bridger"
284,"Corbly Gulch","Corbly Gulch",544,2021-10-11,"Mon",NA,"Corbly Gulch"
285,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-10-12,"Tue",NA,"Felix Canyon Rd"
286,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-10-13,"Wed",NA,"Sypes to Middle Cottonwood"
287,"Bostwick to Truman","Bridger Foothills",534,2021-10-14,"Thu",NA,"Bostwick to Truman"
288,"Baldy to Bridger","Bridger Ridge",513,2021-10-15,"Fri",NA,"Baldy to Bridger"
289,"Fairy Creek","Fairy Creek",500,2021-10-16,"Sat",NA,"Fairy Creek"
290,"Fairy Lakeshore","Fairy Lakeshore",499,2021-10-17,"Sun",NA,"Fairy Lakeshore"
291,"Jones to Ross Pass","Bridger Foothills",534,2021-10-18,"Mon",NA,"Jones to Ross Pass"
292,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-10-19,"Tue",NA,"Sacagawea Peak to Sacagawea Pass"
293,"Ross Pass","Ross Pass",551,2021-10-20,"Wed",NA,"Ross Pass"
294,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-10-21,"Thu",NA,"Fairy Lake Shortcut"
295,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-10-22,"Fri",NA,"Johnson Canyon Jeep Trail"
296,"Sacagawea Pass","Sacagawea Pass",518,2021-10-23,"Sat",NA,"Sacagawea Pass"
297,"Lower Shafthouse","Shafthouse Hill",540,2021-10-24,"Sun",NA,"Lower Shafthouse"
298,"North Cottonwood to Ridge","North Cottonwood",545,2021-10-25,"Mon",NA,"North Cottonwood to Ridge"
299,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-10-26,"Tue",NA,"Ross Pass to Sacagawea Peak"
300,"Bridger to Ross Pass","Bridger Ridge",513,2021-10-27,"Wed",NA,"Bridger to Ross Pass"
301,"Carroll Creek","Carroll Creek",527,2021-10-28,"Thu",NA,"Carroll Creek"
302,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-10-29,"Fri",NA,"Flathead Pass Rd"
303,"Upper Shafthouse","Shafthouse Hill",540,2021-10-30,"Sat",NA,"Upper Shafthouse"
304,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-10-31,"Sun",NA,"S Fork Brackett Creek"
305,"East Bridger South","East Bridger South",538,2021-11-01,"Mon",NA,"East Bridger South"
306,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-11-02,"Tue",NA,"Ross Pass to Sacagawea Pass"
307,"Raptor View","Raptor View",530,2021-11-03,"Wed",NA,"Raptor View"
308,"Upper Brackett Creek","Upper Brackett Creek",526,2021-11-04,"Thu",NA,"Upper Brackett Creek"
309,"Truman to Jones","Bridger Foothills",534,2021-11-05,"Fri",NA,"Truman to Jones"
310,"College M","College M",511,2021-11-06,"Sat",NA,"College M"
312,"College M to Sypes","Bridger Foothills",534,2021-11-08,"Mon",NA,"College M to Sypes"
313,"Steep Way","Bridger Ridge",513,2021-11-09,"Tue",NA,"Steep Way"
314,"M to Baldy","Bridger Ridge",513,2021-11-10,"Wed",NA,"M to Baldy"
315,"M shortcut","M shortcut",512,2021-11-11,"Thu",NA,"M shortcut"
316,"Sypes Canyon","Sypes Canyon",531,2021-11-12,"Fri",NA,"Sypes Canyon"
317,"Middle Cottonwood","Middle Cottonwood",586,2021-11-13,"Sat",NA,"Middle Cottonwood"
318,"East Bridger North","East Bridger North",539,2021-11-14,"Sun",NA,"East Bridger North"
319,"Truman Gulch","Truman Gulch",535,2021-11-15,"Mon",NA,"Truman Gulch"
320,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-11-16,"Tue",NA,"Middle Cottonwood to Bostwick"
321,"North Cottonwood Access","North Cottonwood Access",546,2021-11-17,"Wed",NA,"North Cottonwood Access"
322,"New World Gulch","New World Gulch",50,2021-11-18,"Thu",NA,"New World Gulch"
323,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-11-19,"Fri",NA,"North Cottonwood to Johnson Canyon"
324,"Bridger","Bridger Ridge",513,2021-11-20,"Sat",NA,"Bridger"
325,"Corbly Gulch","Corbly Gulch",544,2021-11-21,"Sun",NA,"Corbly Gulch"
326,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-11-22,"Mon",NA,"Felix Canyon Rd"
327,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-11-23,"Tue",NA,"Sypes to Middle Cottonwood"
328,"Bostwick to Truman","Bridger Foothills",534,2021-11-24,"Wed",NA,"Bostwick to Truman"
329,"Baldy to Bridger","Bridger Ridge",513,2021-11-25,"Thu",NA,"Baldy to Bridger"
330,"Fairy Creek","Fairy Creek",500,2021-11-26,"Fri",NA,"Fairy Creek"
331,"Fairy Lakeshore","Fairy Lakeshore",499,2021-11-27,"Sat",NA,"Fairy Lakeshore"
332,"Jones to Ross Pass","Bridger Foothills",534,2021-11-28,"Sun",NA,"Jones to Ross Pass"
333,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-11-29,"Mon",NA,"Sacagawea Peak to Sacagawea Pass"
334,"Ross Pass","Ross Pass",551,2021-11-30,"Tue",NA,"Ross Pass"
335,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-12-01,"Wed",NA,"Fairy Lake Shortcut"
336,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-12-02,"Thu",NA,"Johnson Canyon Jeep Trail"
337,"Sacagawea Pass","Sacagawea Pass",518,2021-12-03,"Fri",NA,"Sacagawea Pass"
